fecha,hora,region,mwh
2024-01-01,0,Antofagasta,889.23
2024-01-01,0,Atacama,535.78
2024-01-01,0,Coquimbo,435.17
2024-01-01,0,Valparaiso,722.66
2024-01-01,0,Metropolitana,1852.27
2024-01-01,0,Biobio,843.64
2024-01-01,0,Los Lagos,330.95
2024-01-01,1,Antofagasta,811.93
2024-01-01,1,Atacama,507.88
2024-01-01,1,Coquimbo,400.56
2024-01-01,1,Valparaiso,682.41
2024-01-01,1,Metropolitana,1676.05
2024-01-01,1,Biobio,795.27
2024-01-01,1,Los Lagos,311.45
2024-01-01,2,Antofagasta,775.56
2024-01-01,2,Atacama,486.52
2024-01-01,2,Coquimbo,372.02
2024-01-01,2,Valparaiso,657.56
2024-01-01,2,Metropolitana,1559.91
2024-01-01,2,Biobio,750.64
2024-01-01,2,Los Lagos,281.29
2024-01-01,3,Antofagasta,742.32
2024-01-01,3,Atacama,452.63
2024-01-01,3,Coquimbo,377.02
2024-01-01,3,Valparaiso,637.30
2024-01-01,3,Metropolitana,1508.20
2024-01-01,3,Biobio,724.38
2024-01-01,3,Los Lagos,271.12
2024-01-01,4,Antofagasta,737.36
2024-01-01,4,Atacama,438.68
2024-01-01,4,Coquimbo,358.97
2024-01-01,4,Valparaiso,603.70
2024-01-01,4,Metropolitana,1457.33
2024-01-01,4,Biobio,682.51
2024-01-01,4,Los Lagos,282.03
2024-01-01,5,Antofagasta,831.14
2024-01-01,5,Atacama,462.54
2024-01-01,5,Coquimbo,378.02
2024-01-01,5,Valparaiso,632.36
2024-01-01,5,Metropolitana,1592.01
2024-01-01,5,Biobio,734.80
2024-01-01,5,Los Lagos,285.41
2024-01-01,6,Antofagasta,903.56
2024-01-01,6,Atacama,512.00
2024-01-01,6,Coquimbo,414.91
2024-01-01,6,Valparaiso,710.88
2024-01-01,6,Metropolitana,1718.46
2024-01-01,6,Biobio,808.38
2024-01-01,6,Los Lagos,321.33
2024-01-01,7,Antofagasta,946.38
2024-01-01,7,Atacama,570.33
2024-01-01,7,Coquimbo,457.55
2024-01-01,7,Valparaiso,803.15
2024-01-01,7,Metropolitana,1916.75
2024-01-01,7,Biobio,871.24
2024-01-01,7,Los Lagos,335.25
2024-01-01,8,Antofagasta,987.40
2024-01-01,8,Atacama,595.68
2024-01-01,8,Coquimbo,498.22
2024-01-01,8,Valparaiso,830.15
2024-01-01,8,Metropolitana,1919.24
2024-01-01,8,Biobio,951.98
2024-01-01,8,Los Lagos,379.06
2024-01-01,9,Antofagasta,1025.65
2024-01-01,9,Atacama,646.50
2024-01-01,9,Coquimbo,524.10
2024-01-01,9,Valparaiso,867.59
2024-01-01,9,Metropolitana,2099.56
2024-01-01,9,Biobio,1018.91
2024-01-01,9,Los Lagos,390.14
2024-01-01,10,Antofagasta,1064.66
2024-01-01,10,Atacama,658.40
2024-01-01,10,Coquimbo,520.66
2024-01-01,10,Valparaiso,910.64
2024-01-01,10,Metropolitana,2198.81
2024-01-01,10,Biobio,1049.49
2024-01-01,10,Los Lagos,390.65
2024-01-01,11,Antofagasta,1078.01
2024-01-01,11,Atacama,667.13
2024-01-01,11,Coquimbo,525.73
2024-01-01,11,Valparaiso,882.00
2024-01-01,11,Metropolitana,2261.90
2024-01-01,11,Biobio,1047.30
2024-01-01,11,Los Lagos,408.93
2024-01-01,12,Antofagasta,1149.01
2024-01-01,12,Atacama,689.31
2024-01-01,12,Coquimbo,553.22
2024-01-01,12,Valparaiso,955.16
2024-01-01,12,Metropolitana,2313.53
2024-01-01,12,Biobio,1118.88
2024-01-01,12,Los Lagos,437.22
2024-01-01,13,Antofagasta,1151.91
2024-01-01,13,Atacama,685.62
2024-01-01,13,Coquimbo,554.63
2024-01-01,13,Valparaiso,963.17
2024-01-01,13,Metropolitana,2278.50
2024-01-01,13,Biobio,1098.12
2024-01-01,13,Los Lagos,419.71
2024-01-01,14,Antofagasta,1125.73
2024-01-01,14,Atacama,685.92
2024-01-01,14,Coquimbo,552.88
2024-01-01,14,Valparaiso,916.85
2024-01-01,14,Metropolitana,2280.55
2024-01-01,14,Biobio,1054.08
2024-01-01,14,Los Lagos,431.08
2024-01-01,15,Antofagasta,1053.51
2024-01-01,15,Atacama,639.79
2024-01-01,15,Coquimbo,515.34
2024-01-01,15,Valparaiso,866.86
2024-01-01,15,Metropolitana,2169.10
2024-01-01,15,Biobio,972.50
2024-01-01,15,Los Lagos,401.00
2024-01-01,16,Antofagasta,1017.82
2024-01-01,16,Atacama,607.40
2024-01-01,16,Coquimbo,506.78
2024-01-01,16,Valparaiso,834.51
2024-01-01,16,Metropolitana,2111.98
2024-01-01,16,Biobio,989.90
2024-01-01,16,Los Lagos,371.98
2024-01-01,17,Antofagasta,1055.76
2024-01-01,17,Atacama,645.40
2024-01-01,17,Coquimbo,501.74
2024-01-01,17,Valparaiso,849.12
2024-01-01,17,Metropolitana,2074.46
2024-01-01,17,Biobio,1016.51
2024-01-01,17,Los Lagos,387.26
2024-01-01,18,Antofagasta,1063.17
2024-01-01,18,Atacama,653.55
2024-01-01,18,Coquimbo,537.09
2024-01-01,18,Valparaiso,894.86
2024-01-01,18,Metropolitana,2213.04
2024-01-01,18,Biobio,1022.43
2024-01-01,18,Los Lagos,403.57
2024-01-01,19,Antofagasta,1170.86
2024-01-01,19,Atacama,724.88
2024-01-01,19,Coquimbo,569.32
2024-01-01,19,Valparaiso,972.56
2024-01-01,19,Metropolitana,2349.86
2024-01-01,19,Biobio,1122.95
2024-01-01,19,Los Lagos,438.51
2024-01-01,20,Antofagasta,1250.28
2024-01-01,20,Atacama,757.77
2024-01-01,20,Coquimbo,597.15
2024-01-01,20,Valparaiso,988.68
2024-01-01,20,Metropolitana,2483.78
2024-01-01,20,Biobio,1154.98
2024-01-01,20,Los Lagos,445.43
2024-01-01,21,Antofagasta,1159.94
2024-01-01,21,Atacama,683.96
2024-01-01,21,Coquimbo,545.40
2024-01-01,21,Valparaiso,955.51
2024-01-01,21,Metropolitana,2277.45
2024-01-01,21,Biobio,1115.78
2024-01-01,21,Los Lagos,413.36
2024-01-01,22,Antofagasta,1053.82
2024-01-01,22,Atacama,649.15
2024-01-01,22,Coquimbo,523.08
2024-01-01,22,Valparaiso,854.16
2024-01-01,22,Metropolitana,2002.44
2024-01-01,22,Biobio,1028.28
2024-01-01,22,Los Lagos,385.52
2024-01-01,23,Antofagasta,947.45
