fecha,hora,region,mwh
2025-01-01,0,Antofagasta,860.69
2025-01-01,0,Atacama,547.05
2025-01-01,0,Coquimbo,432.44
2025-01-01,0,Valparaiso,706.82
2025-01-01,0,Metropolitana,1756.64
2025-01-01,0,Biobio,874.33
2025-01-01,0,Los Lagos,331.83
2025-01-01,1,Antofagasta,825.56
2025-01-01,1,Atacama,509.11
2025-01-01,1,Coquimbo,389.06
2025-01-01,1,Valparaiso,684.22
2025-01-01,1,Metropolitana,1675.42
2025-01-01,1,Biobio,805.35
2025-01-01,1,Los Lagos,309.59
2025-01-01,2,Antofagasta,784.81
2025-01-01,2,Atacama,475.24
2025-01-01,2,Coquimbo,361.83
2025-01-01,2,Valparaiso,649.61
2025-01-01,2,Metropolitana,1583.26
2025-01-01,2,Biobio,743.67
2025-01-01,2,Los Lagos,282.95
2025-01-01,3,Antofagasta,751.18
2025-01-01,3,Atacama,456.98
2025-01-01,3,Coquimbo,357.31
2025-01-01,3,Valparaiso,617.15
2025-01-01,3,Metropolitana,1537.76
2025-01-01,3,Biobio,716.43
2025-01-01,3,Los Lagos,278.57
2025-01-01,4,Antofagasta,750.08
2025-01-01,4,Atacama,439.03
2025-01-01,4,Coquimbo,354.13
2025-01-01,4,Valparaiso,613.72
2025-01-01,4,Metropolitana,1477.65
2025-01-01,4,Biobio,699.55
2025-01-01,4,Los Lagos,277.49
2025-01-01,5,Antofagasta,774.29
2025-01-01,5,Atacama,458.11
2025-01-01,5,Coquimbo,383.97
2025-01-01,5,Valparaiso,649.62
2025-01-01,5,Metropolitana,1554.33
2025-01-01,5,Biobio,749.25
2025-01-01,5,Los Lagos,288.71
2025-01-01,6,Antofagasta,847.40
2025-01-01,6,Atacama,508.47
2025-01-01,6,Coquimbo,408.02
2025-01-01,6,Valparaiso,682.25
2025-01-01,6,Metropolitana,1671.07
2025-01-01,6,Biobio,814.45
2025-01-01,6,Los Lagos,328.80
2025-01-01,7,Antofagasta,961.46
2025-01-01,7,Atacama,593.41
2025-01-01,7,Coquimbo,457.38
2025-01-01,7,Valparaiso,760.20
2025-01-01,7,Metropolitana,1909.91
2025-01-01,7,Biobio,909.76
2025-01-01,7,Los Lagos,363.79
2025-01-01,8,Antofagasta,1034.32
2025-01-01,8,Atacama,620.68
2025-01-01,8,Coquimbo,497.50
2025-01-01,8,Valparaiso,843.37
2025-01-01,8,Metropolitana,2021.23
2025-01-01,8,Biobio,964.57
2025-01-01,8,Los Lagos,375.73
2025-01-01,9,Antofagasta,1061.50
2025-01-01,9,Atacama,627.63
2025-01-01,9,Coquimbo,530.14
2025-01-01,9,Valparaiso,876.31
2025-01-01,9,Metropolitana,2180.50
2025-01-01,9,Biobio,995.60
2025-01-01,9,Los Lagos,385.79
2025-01-01,10,Antofagasta,1082.27
2025-01-01,10,Atacama,665.58
2025-01-01,10,Coquimbo,540.94
2025-01-01,10,Valparaiso,910.29
2025-01-01,10,Metropolitana,2144.31
2025-01-01,10,Biobio,1018.59
2025-01-01,10,Los Lagos,399.77
2025-01-01,11,Antofagasta,1077.72
