fecha;hora;region;mwh
01/01/2024;0;Antofagasta;889,23
01/01/2024;0;Atacama;535,78
01/01/2024;0;Coquimbo;435,17
01/01/2024;0;Valparaiso;722,66
01/01/2024;0;Metropolitana;1852,27
01/01/2024;0;Biobio;843,64
01/01/2024;0;Los Lagos;330,95
01/01/2024;1;Antofagasta;811,93
01/01/2024;1;Atacama;507,88
01/01/2024;1;Coquimbo;400,56
01/01/2024;1;Valparaiso;682,41
01/01/2024;1;Metropolitana;1676,05
01/01/2024;1;Biobio;795,27
01/01/2024;1;Los Lagos;311,45
01/01/2024;2;Antofagasta;775,56
01/01/2024;2;Atacama;486,52
01/01/2024;2;Coquimbo;372,02
01/01/2024;2;Valparaiso;657,56
01/01/2024;2;Metropolitana;1559,91
01/01/2024;2;Biobio;750,64
01/01/2024;2;Los Lagos;281,29
01/01/2024;3;Antofagasta;742,32
01/01/2024;3;Atacama;452,63
01/01/2024;3;Coquimbo;377,02
01/01/2024;3;Valparaiso;637,30
01/01/2024;3;Metropolitana;1508,20
01/01/2024;3;Biobio;724,38
01/01/2024;3;Los Lagos;271,12
01/01/2024;4;Antofagasta;737,36
01/01/2024;4;Atacama;438,68
01/01/2024;4;Coquimbo;358,97
01/01/2024;4;Valparaiso;603,70
01/01/2024;4;Metropolitana;1457,33
01/01/2024;4;Biobio;682,51
01/01/2024;4;Los Lagos;282,03
01/01/2024;5;Antofagasta;831,14
01/01/2024;5;Atacama;462,54
01/01/2024;5;  COQUIMBO;378,02
01/01/2024;5;Valparaiso;632,36
01/01/2024;5;Metropolitana;1592,01
01/01/2024;5;Biobio;734,80
01/01/2024;5;Los Lagos;285,41
01/01/2024;6;Antofagasta;903,56
01/01/2024;6;Atacama;512,00
01/01/2024;6;Coquimbo;414,91
01/01/2024;6;Valparaiso;710,88
01/01/2024;6;Metropolitana;1718,46
01/01/2024;6;Biobio;808,38
01/01/2024;6;Los Lagos;321,33
01/01/2024;7;Antofagasta;946,38
01/01/2024;7;Atacama;570,33
01/01/2024;7;Coquimbo;457,55
01/01/2024;7;Valparaiso;803,15
01/01/2024;7;Metropolitana;1916,75
01/01/2024;7;Biobio;871,24
01/01/2024;7;Los Lagos;335,25
01/01/2024;8;Antofagasta;987,40
01/01/2024;8;Atacama;595,68
01/01/2024;8;Coquimbo;498,22
01/01/2024;8;Valparaiso;830,15
01/01/2024;8;Metropolitana;1919,24
01/01/2024;8;Biobio;951,98
01/01/2024;8;Los Lagos;379,06
01/01/2024;9;Antofagasta;1025,65
01/01/2024;9;Atacama;646,50
01/01/2024;9;Coquimbo;524,10
01/01/2024;9;Valparaiso;867,59
01/01/2024;9;Metropolitana;2099,56
01/01/2024;9;Biobio;1018,91
01/01/2024;9;Los Lagos;390,14
01/01/2024;10;Antofagasta;1064,66
01/01/2024;10;Atacama;658,40
01/01/2024;10;Coquimbo;520,66
01/01/2024;10;Valparaiso;910,64
01/01/2024;10;Metropolitana;2198,81
01/01/2024;10;Biobio;1049,49
