fecha,hora,central,mwh
2024-01-01,0,Central Rio Manso Alto,262.82
2024-01-01,0,Central Salto del Pehuen,185.07
2024-01-01,0,Central Quebrada Azul,102.61
2024-01-01,0,Central Lago Ventisquero,69.63
2024-01-01,0,Central Vega Escondida,152.71
2024-01-01,0,Parque Solar Pampa Alta,0.00
2024-01-01,0,Parque Solar Llano Blanco,0.00
2024-01-01,0,Parque Solar Salar Nuevo,0.00
2024-01-01,0,Parque Solar Cerro Dorado,0.00
2024-01-01,0,Parque Solar Media Luna,0.00
2024-01-01,0,Eolica Cerro Negro,3.20
2024-01-01,0,Eolica Punta Ventosa,42.61
2024-01-01,0,Eolica Loma Larga,50.10
2024-01-01,0,Eolica Vientos del Sur,42.63
2024-01-01,0,Termoelectrica Bahia Norte,176.10
2024-01-01,0,Termoelectrica Valle Central,162.40
2024-01-01,0,Termoelectrica Puerto Nuevo,283.94
2024-01-01,0,Termoelectrica Costa Brava,362.98
2024-01-01,0,Termoelectrica Peninsula Gris,179.24
2024-01-01,0,Diesel Respaldo Cordillera,0.00
2024-01-01,1,Central Rio Manso Alto,273.24
2024-01-01,1,Central Salto del Pehuen,186.89
2024-01-01,1,Central Quebrada Azul,111.99
2024-01-01,1,Central Lago Ventisquero,67.08
2024-01-01,1,Central Vega Escondida,134.95
2024-01-01,1,Parque Solar Pampa Alta,0.00
2024-01-01,1,Parque Solar Llano Blanco,0.00
2024-01-01,1,Parque Solar Salar Nuevo,0.00
2024-01-01,1,Parque Solar Cerro Dorado,0.00
2024-01-01,1,Parque Solar Media Luna,0.00
2024-01-01,1,Eolica Cerro Negro,3.20
2024-01-01,1,Eolica Punta Ventosa,41.34
2024-01-01,1,Eolica Loma Larga,41.80
2024-01-01,1,Eolica Vientos del Sur,54.08
2024-01-01,1,Termoelectrica Bahia Norte,192.12
2024-01-01,1,Termoelectrica Valle Central,165.62
2024-01-01,1,Termoelectrica Puerto Nuevo,273.51
2024-01-01,1,Termoelectrica Costa Brava,373.01
2024-01-01,1,Termoelectrica Peninsula Gris,180.38
2024-01-01,1,Diesel Respaldo Cordillera,0.00
2024-01-01,2,Central Rio Manso Alto,256.97
2024-01-01,2,Central Salto del Pehuen,192.68
2024-01-01,2,Central Quebrada Azul,111.06
2024-01-01,2,Central Lago Ventisquero,67.17
2024-01-01,2,Central Vega Escondida,151.85
2024-01-01,2,Parque Solar Pampa Alta,0.00
2024-01-01,2,Parque Solar Llano Blanco,0.00
2024-01-01,2,Parque Solar Salar Nuevo,0.00
2024-01-01,2,Parque Solar Cerro Dorado,0.00
2024-01-01,2,Parque Solar Media Luna,0.00
2024-01-01,2,Eolica Cerro Negro,3.20
2024-01-01,2,Eolica Punta Ventosa,53.41
2024-01-01,2,Eolica Loma Larga,40.60
2024-01-01,2,Eolica Vientos del Sur,58.78
2024-01-01,2,Termoelectrica Bahia Norte,192.67
2024-01-01,2,Termoelectrica Valle Central,160.09
2024-01-01,2,Termoelectrica Puerto Nuevo,262.02
2024-01-01,2,Termoelectrica Costa Brava,366.72
2024-01-01,2,Termoelectrica Peninsula Gris,172.27
2024-01-01,2,Diesel Respaldo Cordillera,0.00
2024-01-01,3,Central Rio Manso Alto,271.41
2024-01-01,3,Central Salto del Pehuen,197.16
2024-01-01,3,Central Quebrada Azul,107.77
2024-01-01,3,Central Lago Ventisquero,66.53
2024-01-01,3,Central Vega Escondida,140.01
2024-01-01,3,Parque Solar Pampa Alta,0.00
2024-01-01,3,Parque Solar Llano Blanco,0.00
2024-01-01,3,Parque Solar Salar Nuevo,0.00
2024-01-01,3,Parque Solar Cerro Dorado,0.00
2024-01-01,3,Parque Solar Media Luna,0.00
2024-01-01,3,Eolica Cerro Negro,3.20
2024-01-01,3,Eolica Punta Ventosa,39.02
2024-01-01,3,Eolica Loma Larga,34.37
2024-01-01,3,Eolica Vientos del Sur,60.55
2024-01-01,3,Termoelectrica Bahia Norte,175.88
2024-01-01,3,Termoelectrica Valle Central,166.51
2024-01-01,3,Termoelectrica Puerto Nuevo,265.64
2024-01-01,3,Termoelectrica Costa Brava,375.83
2024-01-01,3,Termoelectrica Peninsula Gris,174.80
2024-01-01,3,Diesel Respaldo Cordillera,0.00
2024-01-01,4,Central Rio Manso Alto,257.90
2024-01-01,4,Central Salto del Pehuen,186.57
2024-01-01,4,Central Quebrada Azul,104.92
2024-01-01,4,Central Lago Ventisquero,64.74
2024-01-01,4,Central Vega Escondida,142.62
2024-01-01,4,Parque Solar Pampa Alta,0.00
2024-01-01,4,Parque Solar Llano Blanco,0.00
2024-01-01,4,Parque Solar Salar Nuevo,0.00
2024-01-01,4,Parque Solar Cerro Dorado,0.00
2024-01-01,4,Parque Solar Media Luna,0.00
2024-01-01,4,Eolica Cerro Negro,3.20
2024-01-01,4,Eolica Punta Ventosa,20.63
2024-01-01,4,Eolica Loma Larga,29.68
2024-01-01,4,Eolica Vientos del Sur,92.09
2024-01-01,4,Termoelectrica Bahia Norte,177.56
2024-01-01,4,Termoelectrica Valle Central,156.06
2024-01-01,4,Termoelectrica Puerto Nuevo,271.20
2024-01-01,4,Termoelectrica Costa Brava,372.10
2024-01-01,4,Termoelectrica Peninsula Gris,182.29
2024-01-01,4,Diesel Respaldo Cordillera,0.00
2024-01-01,5,Central Rio Manso Alto,271.16
2024-01-01,5,Central Salto del Pehuen,192.85
2024-01-01,5,Central Quebrada Azul,104.74
2024-01-01,5,Central Lago Ventisquero,68.61
2024-01-01,5,Central Vega Escondida,151.59
2024-01-01,5,Parque Solar Pampa Alta,0.00
2024-01-01,5,Parque Solar Llano Blanco,0.00
2024-01-01,5,Parque Solar Salar Nuevo,0.00
2024-01-01,5,Parque Solar Cerro Dorado,0.00
2024-01-01,5,Parque Solar Media Luna,0.00
2024-01-01,5,Eolica Cerro Negro,3.20
2024-01-01,5,Eolica Punta Ventosa,37.49
2024-01-01,5,Eolica Loma Larga,31.05
2024-01-01,5,Eolica Vientos del Sur,112.06
2024-01-01,5,Termoelectrica Bahia Norte,193.01
2024-01-01,5,Termoelectrica Valle Central,160.46
2024-01-01,5,Termoelectrica Puerto Nuevo,272.91
2024-01-01,5,Termoelectrica Costa Brava,349.51
2024-01-01,5,Termoelectrica Peninsula Gris,176.60
2024-01-01,5,Diesel Respaldo Cordillera,0.00
2024-01-01,6,Central Rio Manso Alto,264.63
2024-01-01,6,Central Salto del Pehuen,190.32
2024-01-01,6,Central Quebrada Azul,101.87
2024-01-01,6,Central Lago Ventisquero,68.56
2024-01-01,6,Central Vega Escondida,146.62
2024-01-01,6,Parque Solar Pampa Alta,0.00
2024-01-01,6,Parque Solar Llano Blanco,0.00
2024-01-01,6,Parque Solar Salar Nuevo,0.00
2024-01-01,6,Parque Solar Cerro Dorado,0.00
2024-01-01,6,Parque Solar Media Luna,0.00
2024-01-01,6,Eolica Cerro Negro,3.20
2024-01-01,6,Eolica Punta Ventosa,52.44
2024-01-01,6,Eolica Loma Larga,26.66
2024-01-01,6,Eolica Vientos del Sur,116.02
2024-01-01,6,Termoelectrica Bahia Norte,182.51
2024-01-01,6,Termoelectrica Valle Central,172.91
2024-01-01,6,Termoelectrica Puerto Nuevo,281.53
2024-01-01,6,Termoelectrica Costa Brava,369.42
2024-01-01,6,Termoelectrica Peninsula Gris,182.42
2024-01-01,6,Diesel Respaldo Cordillera,0.00
2024-01-01,7,Central Rio Manso Alto,266.08
2024-01-01,7,Central Salto del Pehuen,185.39
2024-01-01,7,Central Quebrada Azul,101.63
2024-01-01,7,Central Lago Ventisquero,66.17
2024-01-01,7,Central Vega Escondida,145.25
2024-01-01,7,Parque Solar Pampa Alta,24.67
2024-01-01,7,Parque Solar Llano Blanco,16.64
2024-01-01,7,Parque Solar Salar Nuevo,22.05
2024-01-01,7,Parque Solar Cerro Dorado,11.96
2024-01-01,7,Parque Solar Media Luna,7.35
2024-01-01,7,Eolica Cerro Negro,3.20
2024-01-01,7,Eolica Punta Ventosa,50.16
2024-01-01,7,Eolica Loma Larga,28.64
2024-01-01,7,Eolica Vientos del Sur,105.80
2024-01-01,7,Termoelectrica Bahia Norte,183.60
2024-01-01,7,Termoelectrica Valle Central,173.30
2024-01-01,7,Termoelectrica Puerto Nuevo,284.71
2024-01-01,7,Termoelectrica Costa Brava,362.69
2024-01-01,7,Termoelectrica Peninsula Gris,185.38
2024-01-01,7,Diesel Respaldo Cordillera,0.00
2024-01-01,8,Central Rio Manso Alto,266.77
2024-01-01,8,Central Salto del Pehuen,181.47
2024-01-01,8,Central Quebrada Azul,110.81
2024-01-01,8,Central Lago Ventisquero,65.61
2024-01-01,8,Central Vega Escondida,141.61
2024-01-01,8,Parque Solar Pampa Alta,72.57
2024-01-01,8,Parque Solar Llano Blanco,48.96
2024-01-01,8,Parque Solar Salar Nuevo,64.86
2024-01-01,8,Parque Solar Cerro Dorado,35.19
2024-01-01,8,Parque Solar Media Luna,21.62
2024-01-01,8,Eolica Cerro Negro,3.20
2024-01-01,8,Eolica Punta Ventosa,23.09
2024-01-01,8,Eolica Loma Larga,33.67
2024-01-01,8,Eolica Vientos del Sur,92.03
2024-01-01,8,Termoelectrica Bahia Norte,186.61
2024-01-01,8,Termoelectrica Valle Central,173.23
2024-01-01,8,Termoelectrica Puerto Nuevo,280.21
2024-01-01,8,Termoelectrica Costa Brava,370.79
2024-01-01,8,Termoelectrica Peninsula Gris,195.88
2024-01-01,8,Diesel Respaldo Cordillera,0.00
2024-01-01,9,Central Rio Manso Alto,268.22
2024-01-01,9,Central Salto del Pehuen,190.77
2024-01-01,9,Central Quebrada Azul,107.37
2024-01-01,9,Central Lago Ventisquero,66.38
2024-01-01,9,Central Vega Escondida,142.24
2024-01-01,9,Parque Solar Pampa Alta,116.26
2024-01-01,9,Parque Solar Llano Blanco,78.43
2024-01-01,9,Parque Solar Salar Nuevo,103.91
2024-01-01,9,Parque Solar Cerro Dorado,56.37
2024-01-01,9,Parque Solar Media Luna,34.64
2024-01-01,9,Eolica Cerro Negro,15.00
2024-01-01,9,Eolica Punta Ventosa,2.48
2024-01-01,9,Eolica Loma Larga,34.26
2024-01-01,9,Eolica Vientos del Sur,113.52
2024-01-01,9,Termoelectrica Bahia Norte,189.07
2024-01-01,9,Termoelectrica Valle Central,165.25
2024-01-01,9,Termoelectrica Puerto Nuevo,279.21
2024-01-01,9,Termoelectrica Costa Brava,353.98
2024-01-01,9,Termoelectrica Peninsula Gris,188.23
2024-01-01,9,Diesel Respaldo Cordillera,0.00
2024-01-01,10,Central Rio Manso Alto,278.93
2024-01-01,10,Central Salto del Pehuen,185.39
2024-01-01,10,Central Quebrada Azul,112.85
2024-01-01,10,Central Lago Ventisquero,64.30
2024-01-01,10,Central Vega Escondida,149.90
2024-01-01,10,Parque Solar Pampa Alta,153.19
2024-01-01,10,Parque Solar Llano Blanco,103.35
2024-01-01,10,Parque Solar Salar Nuevo,136.92
2024-01-01,10,Parque Solar Cerro Dorado,74.28
2024-01-01,10,Parque Solar Media Luna,45.64
2024-01-01,10,Eolica Cerro Negro,26.61
2024-01-01,10,Eolica Punta Ventosa,6.65
2024-01-01,10,Eolica Loma Larga,27.77
2024-01-01,10,Eolica Vientos del Sur,137.31
2024-01-01,10,Termoelectrica Bahia Norte,187.27
2024-01-01,10,Termoelectrica Valle Central,167.15
2024-01-01,10,Termoelectrica Puerto Nuevo,282.90
2024-01-01,10,Termoelectrica Costa Brava,390.64
2024-01-01,10,Termoelectrica Peninsula Gris,197.33
2024-01-01,10,Diesel Respaldo Cordillera,0.00
2024-01-01,11,Central Rio Manso Alto,260.59
2024-01-01,11,Central Salto del Pehuen,201.30
2024-01-01,11,Central Quebrada Azul,117.32
2024-01-01,11,Central Lago Ventisquero,65.20
2024-01-01,11,Central Vega Escondida,154.94
2024-01-01,11,Parque Solar Pampa Alta,181.22
2024-01-01,11,Parque Solar Llano Blanco,122.26
2024-01-01,11,Parque Solar Salar Nuevo,161.97
2024-01-01,11,Parque Solar Cerro Dorado,87.87
2024-01-01,11,Parque Solar Media Luna,53.99
2024-01-01,11,Eolica Cerro Negro,3.37
2024-01-01,11,Eolica Punta Ventosa,2.61
2024-01-01,11,Eolica Loma Larga,28.80
2024-01-01,11,Eolica Vientos del Sur,141.92
2024-01-01,11,Termoelectrica Bahia Norte,197.37
2024-01-01,11,Termoelectrica Valle Central,174.94
2024-01-01,11,Termoelectrica Puerto Nuevo,286.91
2024-01-01,11,Termoelectrica Costa Brava,368.40
2024-01-01,11,Termoelectrica Peninsula Gris,195.03
2024-01-01,11,Diesel Respaldo Cordillera,0.00
2024-01-01,12,Central Rio Manso Alto,254.79
2024-01-01,12,Central Salto del Pehuen,193.80
2024-01-01,12,Central Quebrada Azul,116.40
2024-01-01,12,Central Lago Ventisquero,67.43
2024-01-01,12,Central Vega Escondida,156.40
2024-01-01,12,Parque Solar Pampa Alta,198.72
2024-01-01,12,Parque Solar Llano Blanco,134.06
2024-01-01,12,Parque Solar Salar Nuevo,177.60
2024-01-01,12,Parque Solar Cerro Dorado,96.35
2024-01-01,12,Parque Solar Media Luna,59.20
2024-01-01,12,Eolica Cerro Negro,3.44
2024-01-01,12,Eolica Punta Ventosa,6.16
2024-01-01,12,Eolica Loma Larga,25.92
2024-01-01,12,Eolica Vientos del Sur,142.00
2024-01-01,12,Termoelectrica Bahia Norte,187.72
2024-01-01,12,Termoelectrica Valle Central,177.54
2024-01-01,12,Termoelectrica Puerto Nuevo,284.51
2024-01-01,12,Termoelectrica Costa Brava,355.13
2024-01-01,12,Termoelectrica Peninsula Gris,179.33
2024-01-01,12,Diesel Respaldo Cordillera,0.00
2024-01-01,13,Central Rio Manso Alto,259.91
2024-01-01,13,Central Salto del Pehuen,189.16
2024-01-01,13,Central Quebrada Azul,111.47
2024-01-01,13,Central Lago Ventisquero,69.90
2024-01-01,13,Central Vega Escondida,151.15
2024-01-01,13,Parque Solar Pampa Alta,204.66
2024-01-01,13,Parque Solar Llano Blanco,138.07
2024-01-01,13,Parque Solar Salar Nuevo,182.92
2024-01-01,13,Parque Solar Cerro Dorado,99.23
2024-01-01,13,Parque Solar Media Luna,60.97
2024-01-01,13,Eolica Cerro Negro,20.82
2024-01-01,13,Eolica Punta Ventosa,12.94
