fecha,hora,central,mwh
2025-01-01,0,Central Rio Manso Alto,257.19
2025-01-01,0,Central Salto del Pehuen,177.57
2025-01-01,0,Central Quebrada Azul,126.28
2025-01-01,0,Central Lago Ventisquero,65.29
2025-01-01,0,Central Vega Escondida,136.16
2025-01-01,0,Parque Solar Pampa Alta,0.00
2025-01-01,0,Parque Solar Llano Blanco,0.00
2025-01-01,0,Parque Solar Salar Nuevo,0.00
2025-01-01,0,Parque Solar Cerro Dorado,0.00
2025-01-01,0,Parque Solar Media Luna,0.00
2025-01-01,0,Eolica Cerro Negro,65.48
2025-01-01,0,Eolica Punta Ventosa,29.97
2025-01-01,0,Eolica Loma Larga,37.62
2025-01-01,0,Eolica Vientos del Sur,12.37
2025-01-01,0,Termoelectrica Bahia Norte,231.31
2025-01-01,0,Termoelectrica Valle Central,272.63
2025-01-01,0,Termoelectrica Puerto Nuevo,254.56
2025-01-01,0,Termoelectrica Costa Brava,298.61
2025-01-01,0,Termoelectrica Peninsula Gris,210.88
2025-01-01,0,Diesel Respaldo Cordillera,0.00
2025-01-01,1,Central Rio Manso Alto,261.49
2025-01-01,1,Central Salto del Pehuen,171.12
2025-01-01,1,Central Quebrada Azul,126.06
2025-01-01,1,Central Lago Ventisquero,58.86
2025-01-01,1,Central Vega Escondida,139.44
2025-01-01,1,Parque Solar Pampa Alta,0.00
2025-01-01,1,Parque Solar Llano Blanco,0.00
2025-01-01,1,Parque Solar Salar Nuevo,0.00
2025-01-01,1,Parque Solar Cerro Dorado,0.00
2025-01-01,1,Parque Solar Media Luna,0.00
2025-01-01,1,Eolica Cerro Negro,25.81
2025-01-01,1,Eolica Punta Ventosa,57.14
2025-01-01,1,Eolica Loma Larga,21.06
2025-01-01,1,Eolica Vientos del Sur,14.63
2025-01-01,1,Termoelectrica Bahia Norte,222.40
2025-01-01,1,Termoelectrica Valle Central,272.95
2025-01-01,1,Termoelectrica Puerto Nuevo,254.23
2025-01-01,1,Termoelectrica Costa Brava,261.55
2025-01-01,1,Termoelectrica Peninsula Gris,217.77
2025-01-01,1,Diesel Respaldo Cordillera,0.00
2025-01-01,2,Central Rio Manso Alto,260.71
2025-01-01,2,Central Salto del Pehuen,162.96
2025-01-01,2,Central Quebrada Azul,123.15
2025-01-01,2,Central Lago Ventisquero,59.33
2025-01-01,2,Central Vega Escondida,139.39
2025-01-01,2,Parque Solar Pampa Alta,0.00
2025-01-01,2,Parque Solar Llano Blanco,0.00
2025-01-01,2,Parque Solar Salar Nuevo,0.00
2025-01-01,2,Parque Solar Cerro Dorado,0.00
2025-01-01,2,Parque Solar Media Luna,0.00
2025-01-01,2,Eolica Cerro Negro,25.80
2025-01-01,2,Eolica Punta Ventosa,60.58
2025-01-01,2,Eolica Loma Larga,8.34
2025-01-01,2,Eolica Vientos del Sur,13.97
2025-01-01,2,Termoelectrica Bahia Norte,232.38
2025-01-01,2,Termoelectrica Valle Central,268.08
2025-01-01,2,Termoelectrica Puerto Nuevo,261.14
2025-01-01,2,Termoelectrica Costa Brava,274.37
2025-01-01,2,Termoelectrica Peninsula Gris,226.96
2025-01-01,2,Diesel Respaldo Cordillera,0.00
2025-01-01,3,Central Rio Manso Alto,256.33
2025-01-01,3,Central Salto del Pehuen,183.12
2025-01-01,3,Central Quebrada Azul,120.68
2025-01-01,3,Central Lago Ventisquero,66.55
2025-01-01,3,Central Vega Escondida,129.24
2025-01-01,3,Parque Solar Pampa Alta,0.00
2025-01-01,3,Parque Solar Llano Blanco,0.00
2025-01-01,3,Parque Solar Salar Nuevo,0.00
2025-01-01,3,Parque Solar Cerro Dorado,0.00
2025-01-01,3,Parque Solar Media Luna,0.00
2025-01-01,3,Eolica Cerro Negro,45.56
2025-01-01,3,Eolica Punta Ventosa,61.98
2025-01-01,3,Eolica Loma Larga,7.73
2025-01-01,3,Eolica Vientos del Sur,15.15
2025-01-01,3,Termoelectrica Bahia Norte,228.07
2025-01-01,3,Termoelectrica Valle Central,260.69
